Registration ID,Student Name,Final Rank,Attempt 1 Total,Attempt 2 Total,Overall Percentile,Maths Percentile,Physics Percentile,Chemistry Percentile
20220008491,Mohammed Ansari,1,,288,100.0,100.0,100.0,100.0
20220008880,Shyam Desai,2,289,,100.0,100.0,100.0,100.0
20220008922,Sundar Gaekwad,3,283,,100.0,100.0,100.0,100.0
20220001875,Rohit Bharadhwaj,4,,295,100.0,100.0,100.0,100.0
20220003521,Vishal Hulse,5,298,299,100.0,100.0,100.0,100.0
20220004154,Nikhil Dhamdhere,6,295,294,100.0,100.0,100.0,100.0
20220006666,Shankar Kulkarni,7,280,280,100.0,100.0,99.9415207,99.8830414
20220005519,David Waugh,8,280,278,100.0,99.9415207,100.0,100.0
20220008980,Arvind Trivedi,9,280,,99.9426956,99.9426956,99.9426956,100.0
20220004454,Siddhi Hulse,10,282,,99.9422607,99.9422607,99.9422607,99.8845291
20220007169,Shabeer Khaif,11,,284,99.941658,99.883316,99.941658,99.941658
20220008507,Manjunath Bannerjee,12,281,282,99.9416199,99.9416199,99.9416199,99.9416199
20220007578,Sundar Sharma,13,,293,99.9414215,100.0,99.9414215,99.9414215
20220008734,Joe Jones,14,,279,99.9403305,99.9403305,99.9403305,99.9403305
20220009904,Mohan Dutta,15,271,,99.8853836,99.8853836,99.8853836,99.8853836
20220007232,Ram Bhatt,16,281,,99.8845291,99.8845291,99.9422607,99.8845291
20220003770,Dhananjay Dhamdhere,17,281,,99.8845291,99.8845291,99.8267899,99.9422607
20220009383,Nikhil Trivedi,18,278,281,99.8830414,99.9415207,99.8830414,100.0
20220002475,Zeenat Gul,19,284,280,99.8820724,99.8820724,99.8820724,99.8820724
20220003357,Bijoe Sebastian,20,259,259,99.8806686,99.8209991,99.5823364,99.8806686
20220003597,Zeenat Gul,21,262,259,99.8806686,99.7613373,99.8806686,99.7613373
20220009345,Ravishankar Chatterjee,22,260,254,99.8280792,99.8280792,99.4269333,99.8280792
20220000506,Swapnil Bhatt,23,,274,99.8249741,99.8249741,99.8249741,99.883316
20220004118,Vishal Gadgil,24,,273,99.8248672,99.7664948,99.8248672,99.7664948
20220004533,Siddharth Desai,25,273,,99.8245621,99.7660828,99.7660828,99.7660828
20220001027,Shyam Bharadhwaj,26,,280,99.8242569,99.8828354,99.8242569,99.7656708
20220006343,Balaji Bharadhwaj,27,258,258,99.7707748,99.4842377,99.8280792,99.8280792
20220003549,Krishna Desai,28,274,273,99.7690506,99.7690506,99.6535797,99.7690506
20220004520,Vijay Kulkarni,29,273,270,99.7666245,99.7666245,99.7082825,99.7666245
20220001255,Manjunath Patel,30,,270,99.7666245,99.5915985,99.8249741,99.7666245
